date,CSR
2026-03-11 19:28:00,0
2026-03-11 19:36:00,0
2026-03-11 19:44:00,0
2026-03-11 19:52:00,0
2026-03-11 20:00:00,38
2026-03-11 20:08:00,0
2026-03-11 20:16:00,0
2026-03-11 20:24:00,0
2026-03-11 20:32:00,0
2026-03-11 20:40:00,0
2026-03-11 20:48:00,0
2026-03-11 20:56:00,0
2026-03-11 21:04:00,0
2026-03-11 21:12:00,0
2026-03-11 21:20:00,0
2026-03-11 21:28:00,0
2026-03-11 21:36:00,0
2026-03-11 21:44:00,0
2026-03-11 21:52:00,0
2026-03-11 22:00:00,0
2026-03-11 22:08:00,0
2026-03-11 22:16:00,0
2026-03-11 22:24:00,0
2026-03-11 22:32:00,100
2026-03-11 22:40:00,0
2026-03-11 22:48:00,0
2026-03-11 22:56:00,0
2026-03-11 23:04:00,0
2026-03-11 23:12:00,0
2026-03-11 23:20:00,0
2026-03-11 23:28:00,0
2026-03-11 23:36:00,0
2026-03-11 23:44:00,0
2026-03-11 23:52:00,0
2026-03-12 00:00:00,0
2026-03-12 00:08:00,0
2026-03-12 00:16:00,0
2026-03-12 00:24:00,0
2026-03-12 00:32:00,0
2026-03-12 00:40:00,0
2026-03-12 00:48:00,0
2026-03-12 00:56:00,0
2026-03-12 01:04:00,0
2026-03-12 01:12:00,0
2026-03-12 01:20:00,0
2026-03-12 01:28:00,0
2026-03-12 01:36:00,0
2026-03-12 01:44:00,0
2026-03-12 01:52:00,30
2026-03-12 02:00:00,0
2026-03-12 02:08:00,0
2026-03-12 02:16:00,22
2026-03-12 02:24:00,0
2026-03-12 02:32:00,22
2026-03-12 02:40:00,26
2026-03-12 02:48:00,18
2026-03-12 02:56:00,27
2026-03-12 03:04:00,28
2026-03-12 03:12:00,22
2026-03-12 03:20:00,25
2026-03-12 03:28:00,16
2026-03-12 03:36:00,27
2026-03-12 03:44:00,37
2026-03-12 03:52:00,27
2026-03-12 04:00:00,31
2026-03-12 04:08:00,35
2026-03-12 04:16:00,32
2026-03-12 04:24:00,34
2026-03-12 04:32:00,36
2026-03-12 04:40:00,47
2026-03-12 04:48:00,27
2026-03-12 04:56:00,32
2026-03-12 05:04:00,47
2026-03-12 05:12:00,51
2026-03-12 05:20:00,44
2026-03-12 05:28:00,43
2026-03-12 05:36:00,41
2026-03-12 05:44:00,34
2026-03-12 05:52:00,41
2026-03-12 06:00:00,45
2026-03-12 06:08:00,45
2026-03-12 06:16:00,42
2026-03-12 06:24:00,40
2026-03-12 06:32:00,41
2026-03-12 06:40:00,50
2026-03-12 06:48:00,43
2026-03-12 06:56:00,48
2026-03-12 07:04:00,62
2026-03-12 07:12:00,49
2026-03-12 07:20:00,52
2026-03-12 07:28:00,54
2026-03-12 07:36:00,50
2026-03-12 07:44:00,38
2026-03-12 07:52:00,40
2026-03-12 08:00:00,37
2026-03-12 08:08:00,39
2026-03-12 08:16:00,38
2026-03-12 08:24:00,44
2026-03-12 08:32:00,45
2026-03-12 08:40:00,34
2026-03-12 08:48:00,45
2026-03-12 08:56:00,50
2026-03-12 09:04:00,31
2026-03-12 09:12:00,39
2026-03-12 09:20:00,35
2026-03-12 09:28:00,35
2026-03-12 09:36:00,51
2026-03-12 09:44:00,35
2026-03-12 09:52:00,51
2026-03-12 10:00:00,47
2026-03-12 10:08:00,47
2026-03-12 10:16:00,42
2026-03-12 10:24:00,50
2026-03-12 10:32:00,41
2026-03-12 10:40:00,39
2026-03-12 10:48:00,45
2026-03-12 10:56:00,44
2026-03-12 11:04:00,21
2026-03-12 11:12:00,39
2026-03-12 11:20:00,45
2026-03-12 11:28:00,42
2026-03-12 11:36:00,36
2026-03-12 11:44:00,48
2026-03-12 11:52:00,28
2026-03-12 12:00:00,48
2026-03-12 12:08:00,37
2026-03-12 12:16:00,38
2026-03-12 12:24:00,39
2026-03-12 12:32:00,31
2026-03-12 12:40:00,29
2026-03-12 12:48:00,34
2026-03-12 12:56:00,25
2026-03-12 13:04:00,28
2026-03-12 13:12:00,36
2026-03-12 13:20:00,21
2026-03-12 13:28:00,31
2026-03-12 13:36:00,21
2026-03-12 13:44:00,32
2026-03-12 13:52:00,35
2026-03-12 14:00:00,28
2026-03-12 14:08:00,22
2026-03-12 14:16:00,28
2026-03-12 14:24:00,23
2026-03-12 14:32:00,34
2026-03-12 14:40:00,20
2026-03-12 14:48:00,23
2026-03-12 14:56:00,19
2026-03-12 15:04:00,17
2026-03-12 15:12:00,16
2026-03-12 15:20:00,23
2026-03-12 15:28:00,23
2026-03-12 15:36:00,18
2026-03-12 15:44:00,17
2026-03-12 15:52:00,17
2026-03-12 16:00:00,19
2026-03-12 16:08:00,21
2026-03-12 16:16:00,20
2026-03-12 16:24:00,26
2026-03-12 16:32:00,19
2026-03-12 16:40:00,27
2026-03-12 16:48:00,31
2026-03-12 16:56:00,19
2026-03-12 17:04:00,27
2026-03-12 17:12:00,19
2026-03-12 17:20:00,20
2026-03-12 17:28:00,20
2026-03-12 17:36:00,20
2026-03-12 17:44:00,23
2026-03-12 17:52:00,18
2026-03-12 18:00:00,23
2026-03-12 18:08:00,23
2026-03-12 18:16:00,23
2026-03-12 18:24:00,0
2026-03-12 18:32:00,0
2026-03-12 18:40:00,0
2026-03-12 18:48:00,0
2026-03-12 18:56:00,0
2026-03-12 19:04:00,0
2026-03-12 19:12:00,0
2026-03-12 19:20:00,0
2026-03-12 19:28:00,0
